number	number	number	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2
101	6	1	"[[19001,5000,6],[18004,10000,1],[11126,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11125,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11124,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11123,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11122,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11121,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
102	6	1	"[[19001,5000,6],[18004,10000,1],[11126,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11125,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11124,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11123,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11122,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11121,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
103	6	1	"[[19001,5000,6],[18004,10000,1],[11126,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11125,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11124,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11123,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11122,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11121,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
104	6	1	"[[19001,5000,6],[18004,10000,1],[11126,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11125,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11124,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11123,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11122,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11121,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
105	6	1	"[[19001,5000,6],[18004,10000,1],[11126,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11125,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11124,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11123,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11122,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11121,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
106	6	1	"[[19001,5000,6],[18004,10000,1],[11126,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11125,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11124,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11123,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11122,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11121,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
107	6	1	"[[19001,5000,6],[18004,10000,1],[11126,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11125,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11124,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11123,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11122,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11121,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
108	6	1	"[[19001,5000,6],[18004,10000,1],[11126,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11125,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11124,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11123,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11122,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11121,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
109	6	1	"[[19001,5000,6],[18004,10000,1],[11126,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11125,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11124,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11123,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11122,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11121,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
110	6	1	"[[19001,5000,6],[18004,10000,1],[11136,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11135,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11134,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11133,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11132,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11131,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
111	6	1	"[[19001,5000,6],[18004,10000,1],[11136,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11135,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11134,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11133,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11132,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11131,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
112	6	1	"[[19001,5000,6],[18004,10000,1],[11136,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11135,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11134,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11133,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11132,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11131,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
113	6	1	"[[19001,5000,6],[18004,10000,1],[11136,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11135,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11134,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11133,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11132,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11131,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
114	6	1	"[[19001,5000,6],[18004,10000,1],[11136,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11135,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11134,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11133,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11132,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11131,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
115	6	1	"[[19001,5000,6],[18004,10000,1],[11136,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11135,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11134,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11133,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11132,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11131,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
116	6	1	"[[19001,5000,6],[18004,10000,1],[11136,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11135,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11134,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11133,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11132,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11131,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
117	6	1	"[[19001,5000,6],[18004,10000,1],[11136,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11135,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11134,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11133,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11132,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11131,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
118	6	1	"[[19001,5000,6],[18004,10000,1],[11136,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11135,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11134,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11133,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11132,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11131,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
119	6	1	"[[19001,5000,6],[18004,10000,1],[11136,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11135,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11134,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11133,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11132,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11131,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
120	6	1	"[[19001,5000,6],[18004,10000,1],[11146,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11145,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11144,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11143,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11142,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11141,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
121	6	1	"[[19001,5000,6],[18004,10000,1],[11146,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11145,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11144,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11143,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11142,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11141,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
122	6	1	"[[19001,5000,6],[18004,10000,1],[11146,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11145,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11144,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11143,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11142,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11141,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
123	6	1	"[[19001,5000,6],[18004,10000,1],[11146,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11145,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11144,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11143,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11142,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11141,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
124	6	1	"[[19001,5000,6],[18004,10000,1],[11146,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11145,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11144,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11143,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11142,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11141,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
125	6	1	"[[19001,5000,6],[18004,10000,1],[11146,5000,3]]"	"[[19002,5000,6],[18004,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18004,10000,1],[11145,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11144,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11143,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,2],[11142,5000,3]]"	"[[19004,5000,6],[18005,10000,1],[21001,2500,3]]"	"[[19005,5000,6],[18005,10000,1],[11141,5000,3]]"	"[[19005,5000,6],[18005,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18005,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
